Giá,DT,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
20 tỷ,150 m,Đường Thăng Long, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,Đông Nam,Y,Cần bán,15m,Y,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,---,"7,5m",3,Y,20m,4,---
12 tỷ,157 m,Đường Nguyễn Hữu Thọ, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Đông,---,Cần bán,30m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"5,1m",---,Y,31m,---,---
"4,15 tỷ",110 m,Đường Hoàng Tăng Bí, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,Tây,---,Cần bán,10m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,22m,---,---
41 tỷ,158 m,Đường Trần Phú, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,"10,m",---,Nhà mặt tiền,---,---,"6,9m",1,---,22m,3,---
"2,05 tỷ",67 m,Đường Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Tây Nam,---,Cần bán,"3,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,1,---,"13,5m",5,---
"6,15 tỷ",74 m,Đường Tân An 2, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,Bắc,---,Cần bán,"5,5m",---,Nhà mặt tiền,Giấy tờ hợp lệ,---,"4,5m",3,---,"16,5m",2,---
"7,9 tỷ",93 m,Đường Dương Thưởng, Phường Hòa Cường, Quận Hải Châu, Đà Nẵng,Tây Nam,---,Cần bán,"5,5m",---,Nhà mặt tiền,---,---,"4,8m",2,---,19m,3,---
"9,85 tỷ",105 m,Đường Lý Tự Trọng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,---,6,Y,---,11,---
"2,6 tỷ",108 m,Đường Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Bắc,---,Cần bán,3m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,"21,8m",---,---
"6,6 tỷ",105 m,Đường Trương Công Hy, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,"7,5m",---,Nhà mặt tiền,---,---,5m,3,---,21m,3,---
