Giá,DT,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
"13,5 tỷ",115 m,Đường Châu Thị Vĩnh Tế, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,5m,3,---,"22,9m",5,---
15 tỷ,106 m,Đường Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,15m,---,Nhà mặt tiền,---,---,"6,2m",3,---,17m,3,---
9 tỷ,112 m,Đường Nguyễn Lộ Trạch, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,5m,3,---,22m,5,---
"18,2 tỷ",100 m,Đường Trần Hưng Đạo, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,5m,2,---,20m,3,---
"7,45 tỷ",70 m,Đường Nguyễn Sơn Hà, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,5m,3,---,14m,3,---
"8,4 tỷ",80 m,Đường Phước Trường 4, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,6m,---,Nhà mặt tiền,---,---,5m,3,---,16m,5,---
6 tỷ,100 m,Đường Nguyễn Văn Thoại, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,7m,---,Nhà trong hẻm,---,---,4m,2,---,25m,4,---
6 tỷ,120 m,Đường Lê Đình Lý, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,6m,---,Nhà mặt tiền,---,---,"5,45m",3,---,18m,4,---
"4,7 tỷ",63 m,Đường Lê Cơ, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,4m,---,"Đất thổ cư, đất ở",---,---,"4,6m",1,---,"13,5m",2,---
"13,5 tỷ",90 m,Đường Trưng Nữ Vương, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,"4,6m",2,---,16m,2,---
11 tỷ,88 m,Đường Đinh Thị Hòa, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,"4,5m",---,---,18m,---,---
6 tỷ,102 m,Đường Nguyễn Duy Hiệu, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,6m,---,Nhà trong hẻm,---,---,4m,2,---,25m,4,---
"4,5 tỷ",81 m,Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,6m,---,Nhà mặt tiền,---,---,"3,5m",1,---,23m,2,---
"7,3 tỷ",90 m,Đường Hồ Nguyên Trừng, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,"4,5m",3,---,20m,4,---
25 tỷ,84 m,Đường Ngô Gia Tự, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,"4,5m",4,---,"18,5m",5,---
9 tỷ,142 m,Đường Nguyễn Duy Hiệu, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,"5,93m",1,---,23m,2,---
"5,4 tỷ",60 m,Đường Lê Bôi, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,4m,2,---,15m,3,---
16 tỷ,86 m,Đường Triệu Nữ Vương, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,"4,1m",3,---,21m,3,---
"4,2 tỷ",86 m,Đường Nguyễn Xuân Hữu, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,5m,2,---,"17,2m",3,---
"4,8 tỷ",65 m,Đường An Thượng 16, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,4m,---,Nhà mặt tiền,---,---,5m,1,---,13m,2,---
"6,5 tỷ",67 m,Đường An Thượng 15, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,"4,5m",2,---,"14,5m",3,---
"5,5 tỷ",81 m,Đường Trần Xuân Lê, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,"4,5m",2,---,18m,3,---
"5,5 tỷ",100 m,Đường Đặng Thùy Trâm, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,5m,---,Nhà trong hẻm,---,---,5m,2,---,20m,3,---
15 tỷ,62 m,Đường Hoàng Diệu, Phường Nam Dương, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,"5,5m",6,---,12m,5,---
"4,5 tỷ",52 m,Đường Lê Cơ, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,5m,---,Nhà trong hẻm,---,---,"4,5m",3,---,"11,94m",4,---
6 tỷ,52 m,Đường Nguyễn Bỉnh Khiêm, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,4m,---,Nhà mặt tiền,---,---,"5,3m",3,---,"9,8m",3,---
"8,9 tỷ",52 m,Đường Phan Đăng Lưu, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,"4,2m",1,---,12m,---,---
13 tỷ,100 m,Đường Phan Đăng Lưu, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,5m,1,---,20m,2,---
"7,9 tỷ",100 m,Đường Phước Trường 11, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,5m,---,"Đất thổ cư, đất ở",---,---,5m,---,---,20m,---,---
"6,8 tỷ",52 m,Đường Thạch Lam, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,4m,4,---,"12,79m",5,---
7 tỷ,81 m,Đường An Thượng 20, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,"4,5m",2,---,18m,3,---
16 tỷ,100 m,Đường Phan Đăng Lưu, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,5m,5,---,20m,5,---
"5,4 tỷ",78 m,Đường Trần Văn Thành, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,6m,---,Nhà mặt tiền,---,---,"7,56m",3,---,"9,28m",4,---
"2,9 tỷ",70 m,Đường Nại Hiên Đông 12, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,5m,---,"Đất thổ cư, đất ở",---,---,"4,5m",1,---,16m,1,---
6 tỷ,80 m,Đường Hoài Thanh, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,5m,2,---,16m,3,---
"14,5 tỷ",100 m,Đường Phước Trường 11, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,5m,5,---,20m,7,---
"8,3 tỷ",60 m,Đường Núi Thành, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,6m,2,---,10m,3,---
"7,5 tỷ",90 m,Đường Hoàng Thúc Trâm, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,5m,3,---,18m,4,---
"6,5 tỷ",70 m,Đường Lê Duẩn, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,6m,---,Nhà trong hẻm,---,---,5m,3,---,14m,3,---
"11,5 tỷ",62 m,Đường Hoàng Diệu, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,4m,4,---,"15,5m",6,---
16 tỷ,93 m,Đường Hà Kỳ Ngộ, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,15m,---,Nhà mặt tiền,---,---,5m,7,---,"18,5m",15,---
"7,8 tỷ",86 m,Đường Trần Đình Đàn, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,"4,8m",1,---,18m,1,---
8 tỷ,102 m,Đường Đinh Tiên Hoàng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,6m,---,Nhà trong hẻm,---,---,"4,6m",2,---,22m,3,---
"7,5 tỷ",100 m,Đường Nguyễn Bá Lân, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,5m,3,---,20m,4,---
"5,5 tỷ",100 m,Đường Bình Hòa 4, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,_,---,Cần bán,4m,---,Nhà mặt tiền,---,---,5m,3,---,20m,3,---
"5,2 tỷ",70 m,Đường Thái Thị Bôi, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,"4,5m",3,---,16m,4,---
"4,7 tỷ",80 m,Đường Bình Hòa 14, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,5m,2,---,16m,3,---
"4,5 tỷ",52 m,Đường Ỷ Lan Nguyên Phi, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,4m,---,Nhà mặt tiền,---,---,"4,5m",3,---,"11,94m",4,---
"4,8 tỷ",90 m,Đường Thi Sách, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,5m,---,Nhà trong hẻm,---,---,5m,2,---,18m,3,---
"3,5 tỷ",85 m,Đường Nguyễn Thúy, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,---,Cần bán,5m,---,"Đất thổ cư, đất ở",---,---,"4,5m",---,---,19m,---,---
6 tỷ,60 m,Đường Phạm Nhữ Tăng, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,4m,3,---,15m,3,---
"9,2 tỷ",64 m,Đường Bùi Hữu Nghĩa, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,4m,---,Nhà mặt tiền,---,---,4m,6,---,16m,5,---
"3,7 tỷ",110 m,Đường Cống Quỳnh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,"6,1m",2,---,18m,2,---
13 tỷ,90 m,Đường Trần Hữu Tước, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,5m,3,---,18m,4,---
6 tỷ,72 m,Đường Hoàng Xuân Nhị, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,5m,3,---,"14,5m",3,---
5 tỷ,66 m,Đường Bùi Hữu Nghĩa, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,4m,---,Nhà mặt tiền,---,---,"4,1m",3,---,16m,4,---
"4,4 tỷ",87 m,Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,7m,---,"Đất thổ cư, đất ở",---,---,5m,---,---,"17,5m",---,---
"9,5 tỷ",50 m,Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,"4,5m",5,---,11m,5,---
16 tỷ,92 m,Đường Hồ Nghinh, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,15m,---,"Nhà hàng, khách sạn",---,---,5m,7,---,"18,5m",15,---
"4,8 tỷ",51 m,Đường An Trung Đông 6, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,"4,65m",3,---,11m,3,---
"4,09 tỷ",55 m,Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,6m,---,Nhà mặt tiền,---,---,5m,2,---,11m,3,---
"6,9 tỷ",100 m,Đường Lê Ngân, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,5m,3,---,20m,4,---
"3,82 tỷ",99 m,Đường Nguyễn Quý Đức, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,"5,5m",1,---,18m,3,---
"8,5 tỷ",158 m,Đường Duy Tân, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,8m,3,---,"19,4m",3,---
"3,7 tỷ",110 m,Đường Nguyễn Nhàn, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,"6,1m",2,---,18m,3,---
"5,1 tỷ",64 m,Đường Cao Bá Quát, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,"4,38m",1,---,"14,57m",2,---
32 tỷ,536 m,Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,20m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,8m,1,Y,67m,5,---
"6,6 tỷ",105 m,Đường Trường Sa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,14m,---,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,---,---,---,---,---,2,---
"7,8 tỷ",90 m,Đường Trần Phước Thành, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,6m,3,---,15m,3,---
14 tỷ,110 m,Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,"5,5m",3,---,20m,2,---
"5,2 tỷ",70 m,Đường Đông Giang, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,5m,2,---,14m,3,---
"18,5 tỷ",85 m,Đường Lê Đình Lý, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,"4,29m",4,---,"19,41m",4,---
"5,8 tỷ",75 m,Đường Nguyễn Chích, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,5m,3,---,15m,3,---
"2,4 tỷ",40 m,Đường Lê Đình Lý, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"4,3m",2,Y,"9,5m",1,---
"12,5 tỷ",96 m,Đường Văn Cao, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,"4,5m",3,---,21m,4,---
"5,1 tỷ",83 m,Đường Ngô Thị Liễu, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,5m,3,---,"16,5m",4,---
"5,5 tỷ",95 m,Đường Nguyễn Giản Thanh, Phường An Khê, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,5m,2,---,19m,3,---
"8,6 tỷ",100 m,Đường Nguyễn Bá Học, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,5m,---,"Đất thổ cư, đất ở",---,---,"4,5m",---,---,22m,---,---
18 tỷ,130 m,Đường Chu Văn An, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,6m,---,Nhà mặt tiền,---,---,5m,1,---,26m,3,---
"6,6 tỷ",80 m,Đường Phước Trường 5, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,5m,2,---,16m,2,---
"10,5 tỷ",170 m,Đường Phan Huy Chú, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,5m,---,"Đất thổ cư, đất ở",---,---,10m,---,---,17m,---,---
"2,55 tỷ",41 m,Đường Lê Duẩn, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,4m,2,Y,11m,2,---
32 tỷ,160 m,Đường An Thượng 1, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,---,Cần bán,5m5m,---,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,---,9m,---,---,18m,---,---
85 triệu / m,142 m,Đường Lê Bá Trinh, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,14m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,1,---,---,2,---
39 triệu / m,370 m,Đường Trường Sa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,15m,---,"Biệt thự, nhà liền kề",Giấy tờ hợp lệ,---,---,2,---,---,1,---
16 tỷ,150 m,Đường Xô Viết Nghệ Tĩnh, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,Đông Nam,---,Cần bán,33m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,30m,---,---
"9,2 tỷ",73 m,Đường Nguyễn Hoàng, Phường Bình Hiên, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,14m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,1,---,---,2,---
800 tỷ,900 m,Đường Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Đông,---,Cần bán,---,---,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,---,---,20,---,---,150,---
"45,5 triệu / m",1.097 m,Đường Trường Sa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,14m,---,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,---,---,2,---,---,3,---
"11,6 tỷ",375 m,Đường Đào Duy Tùng, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,Đông Bắc,---,Cần bán,30m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,25m,---,---,15m,---,---
"9,5 tỷ",110 m,Đường Nguyễn Xiển, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,Đông Bắc,---,Cần bán,13m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,4,---,22m,12,---
"26,5 tỷ",152 m,Đường Phan Tôn, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,Y,---,---,---,---,---,---
29 tỷ,160 m,Đường Lê Quang Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,Y,Cần bán,"7,5m",Y,"Nhà hàng, khách sạn",---,Y,8m,5,Y,20m,24,---
35 tỷ,252 m,Đường Minh Mạng, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,10m,---,"Biệt thự, nhà liền kề",Giấy tờ hợp lệ,---,---,3,---,---,4,---
"7,3 tỷ",480 m,Đường Huỳnh Bá Chánh, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,Đông Nam,---,Cần bán,5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,10m,---,---,48m,---,---
"3,95 tỷ",100 m,Đường Minh Mạng, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,14m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"6,8 tỷ",73 m,Đường Nguyễn Hoàng, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,12m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,1,---
35 tỷ,616 m,Đường Trường Sa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,12m,---,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,---,---,2,---,---,3,---
19 tỷ,82 m,Đường An Thượng 30, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông Nam,Y,Cần bán,5m5m,Y,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,Y,5m,7,Y,17m,15,---
89 tỷ,220 m,Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Tây,---,Cần bán,10m,---,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,---,10m,15,---,22m,60,---
18 tỷ,490 m,Đường Trường Sa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,Đông Nam,---,Cần bán,10m,---,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,---,20m,2,---,30m,3,---
74 tỷ,426 m,Đường Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Đông,---,Cần bán,15mm,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
180 triệu / m,600 m,Đường Trần Bạch Đằng, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,---,Cần bán,10mm,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
17 tỷ,118 m,Đường An Thượng 9, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,Y,Cần bán,---,Y,"Nhà hàng, khách sạn",---,Y,9m,6,Y,13m,14,---
115 tỷ,280 m,Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Tây Nam,---,Cần bán,15m,---,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,---,"14,5m",15,---,20m,70,---
35 tỷ,616 m,Đường Trường Sa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,Đông Nam,---,Cần bán,10m,---,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,---,17m,2,---,35m,3,---
280 tỷ,600 m,Đường Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Đông,---,Cần bán,---,---,"Nhà hàng, khách sạn",---,---,20m,20,---,30m,120,---
138 tỷ,290 m,Đường Trần Bạch Đằng, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,Y,Cần bán,10mm,Y,"Nhà hàng, khách sạn",---,Y,15m,16,Y,18m,80,---
105 tỷ,500 m,Đường Võ Văn Kiệt, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Bắc,---,Cần bán,22m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,22m,---,---,23m,---,---
45 tỷ,308 m,Đường Võ Nguyên Giáp, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,---,Cần bán,15m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,12m,---,---,26m,---,---
46 tỷ,306 m,Đường Lê Quang Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,7m5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
66 tỷ,382 m,Đường Trần Bạch Đằng, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Tây,---,Cần bán,10mm,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
70 tỷ,210 m,Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,7m5m,---,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,---,---,12,---,---,52,---
280 tỷ,600 m,Đường Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Đông,Y,Cần bán,30m,Y,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,Y,15m,16,Y,40m,110,---
30 tỷ,408 m,Đường Võ Nguyên Giáp, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,---,Cần bán,30m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,14m,---,---,29m,---,---
76 tỷ,180 m,Đường Phan Liêm, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông Bắc,Y,Cần bán,"7,5m",Y,"Nhà hàng, khách sạn",---,Y,9m,13,Y,20m,55,---
"12,7 tỷ",120 m,Đường Nguyễn Công Trứ, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,Nam,---,Cần bán,"10,m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,24m,---,---
"8,6 tỷ",82 m,Đường Lê Lộ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,---,Cần bán,5m5m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,"4,5m",---,---,18m,---,---
68 tỷ,180 m,Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,_,Y,Cần bán,---,Y,"Nhà hàng, khách sạn",---,Y,10m,12,Y,20m,55,---
740 tỷ,700 m,Đường Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Đông,Y,Cần bán,40m,Y,"Nhà hàng, khách sạn",Giấy tờ hợp lệ,Y,15m,23,Y,---,148,---
320 tỷ,440 m,Đường Võ Nguyên Giáp, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,Y,Cần bán,22m,Y,"Nhà hàng, khách sạn",---,Y,10m,17,Y,44m,110,---
180 tỷ,355 m,Đường Bạch Đằng, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng,Đông,Y,Cần bán,20m,Y,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,Y,---,12,Y,---,65,---
245 tỷ,375 m,Đường Phạm Văn Đồng, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Đông Bắc,Y,Cần bán,30m,Y,"Nhà hàng, khách sạn",---,Y,15m,20,Y,25m,103,---
