Giá,DT,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
"11,3 tỷ",125 m,Đường Nguyễn Tất Thành, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng,Bắc,---,Cần bán,33m,---,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,---,5m,5,---,25m,14,---
"5,2 tỷ",81 m,Đường Đinh Núp, Phường An Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,"5,5m",Y,Nhà mặt tiền,---,Y,"4,5m",3,Y,18m,4,---
"4,2 tỷ",70 m,Đường Lê Chân, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,"4,7m",---,---,15m,---,---
"7,6 tỷ",100 m,Đường Nguyễn Công Hãng, Phường An Khê, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,5m,2,---,20m,3,---
12 tỷ,136 m,Đường Núi Thành, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,"5,3m",2,---,25m,3,---
"2,05 tỷ",100 m,Đường Mai Đăng Chơn, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng,Nam,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",---,---,---,---,---,---,---,---
"7,8 tỷ",90 m,Đường Ỷ Lan Nguyên Phi, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,Bắc,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"4,5m",3,Y,20m,3,---
"3,7 tỷ",75 m,Đường Hoàng Sĩ Khải, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"3,6m",2,Y,21m,4,---
"2,69 tỷ",99 m,Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,"2,5m",Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"4,5m",2,Y,22m,4,---
"6,8 tỷ",81 m,Đường Phạm Nhữ Tăng, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,Tây,Y,Cần bán,11m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"5,6m",3,Y,14m,3,---
18 tỷ,250 m,Đường Bùi Tá Hán, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Bắc,---,Cần bán,15m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,10m,3,---,25m,15,---
"9,7 tỷ",82 m,Đường Phạm Văn Nghị, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng,Nam,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"6,4m",3,Y,1m,3,---
"3,75 tỷ",43 m,Đường Yên Khê 2, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,6m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,"8,5m",3,---
41 tỷ,300 m,Đường Sương Nguyệt Ánh, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Đông Bắc,---,Cần bán,"5,5m",---,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,---,15m,5,---,25m,28,---
"6,9 tỷ",110 m,Đường Phạm Huy Thông, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng,Tây Bắc,Y,Cần bán,"10,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"5,5m",3,Y,20m,3,---
"2,95 tỷ",87 m,Đường Bùi Tá Hán, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,Đông Bắc,---,Cần bán,6m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,18m,---,---
"4,65 tỷ",75 m,Đường Chu Mạnh Trinh, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Tây,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,5m",2,---,---,3,---
14 tỷ,125 m,Đường Nguyễn Tất Thành, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,Đông Bắc,---,Cần bán,33m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,5,---,---,15,---
12 tỷ,135 m,Đường Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,Đông,Y,Cần bán,"10,m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"5,4m",2,Y,25m,2,---
"3,25 tỷ",52 m,Đường Trần Cao Vân, Phường An Khê, Quận Thanh Khê, Đà Nẵng,Tây,Y,Cần bán,"3,5m",Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2,Y,---,3,---
"2,95 tỷ",39 m,Đường An Thượng 12, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Nam,---,Cần bán,4m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,4m,2,---,10m,2,---
"21,5 tỷ",200 m,Đường Phạm Hữu Kính, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Bắc,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,10m,---,---,---,---,---
"3,05 tỷ",90 m,Đường Sơn Thủy 4, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,6m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,1,---,18m,2,---
"6,8 tỷ",81 m,Đường Phạm Nhữ Tăng, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,Tây Nam,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"5,5m",3,---,15m,4,---
"12,9 tỷ",70 m,Đường Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Bắc,Y,Cần bán,"10,m",Y,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,Y,5m,1,Y,14m,1,---
"4,35 tỷ",50 m,Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng,Đông Bắc,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,3,---,12m,3,---
"3,45 tỷ",154 m,Đường Trung Lương 7, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây,---,Cần bán,7m,---,Nhà mặt tiền,---,---,5m,1,---,---,3,---
"15,5 tỷ",125 m,Đường Nguyễn Hữu Thọ, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,22m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,4,---,25m,5,---
"7,75 tỷ",90 m,Đường Lê Sát, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,Tây Nam,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"4,5m",3,Y,20m,7,---
8 tỷ,133 m,Đường Thanh Tịnh, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Đông Nam,Y,Cần bán,10m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,27m,3,---
"6,2 tỷ",60 m,Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng,Bắc,Y,Cần bán,12m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"5,3m",3,Y,12m,3,---
"3,25 tỷ",90 m,Đường Phú Xuân 3, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",---,---,5m,---,---,18m,---,---
"2,65 tỷ",63 m,Đường Lê Văn Hiến, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,5m,---,"Đất thổ cư, đất ở",---,---,5m,---,---,11m,---,---
"1,7 tỷ",69 m,Đường Võ Chí Công, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,_,Y,Cần bán,---,Y,Căn hộ chung cư,---,Y,---,26,Y,---,2,---
"11,3 tỷ",125 m,Đường Nguyễn Tất Thành, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng,Bắc,Y,Cần bán,33m,Y,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,Y,5m,5,Y,25m,14,---
"2,4 tỷ",130 m,Đường Ngô Chân Lưu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Tây Bắc,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,6m,2,---,11m,3,---
"2,77 tỷ",100 m,Đường Nhơn Hòa 18, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,Đông Bắc,---,Cần bán,"5,5m",---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"2,7 tỷ",100 m,Đường Quách Xân, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,_,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",---,---,5m,---,---,20m,---,---
"3,29 tỷ",52 m,Đường Bình An 7, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,Đông Nam,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,2,---,12m,3,---
"7,2 tỷ",85 m,Đường Nguyễn Khang, Phường An Khê, Quận Thanh Khê, Đà Nẵng,Tây,Y,Cần bán,5m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,17m,4,---
8 tỷ,56 m,Đường Phạm Tu, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,_,Y,Cần bán,"5,5m",Y,"Nhà hàng, khách sạn",---,Y,4m,6,---,16m,10,---
"3,85 tỷ",50 m,Đường Đinh Tiên Hoàng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng,Tây,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,3,---,10m,3,---
"3,69 tỷ",43 m,Đường Yên Khê, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,8m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,"8,5m",3,---
"4,15 tỷ",66 m,Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng,Tây,Y,Cần bán,7m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,4m,3,Y,17m,3,---
"2,2 tỷ",80 m,Đường Âu Cơ, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng,_,Y,Cần bán,"7,5m",Y,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,---,8m,1,Y,10m,3,---
"3,5 tỷ",100 m,Đường Dương Đình Nghệ, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,3,---,20m,5,---
"3,2 tỷ",46 m,Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng,Đông,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,4m,3,Y,12m,4,---
42 tỷ,200 m,Đường Đông Kinh Nghĩa Thục, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,_,Y,Cần bán,"7,5m",Y,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,Y,17m,8,Y,---,15,---
"7,3 tỷ",370 m,Đường Võ Nguyên Giáp, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,10m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
